Name,Capital,Largest City,Primary Language
China,Beijing,Shanghai,Mandarin
India,New Delhi,Mumbai,Hindi
United States,Washington,New York,English
Indonesia,Jakarta,Jakarta,Indonesian
Pakistan,Islamabad,Karachi,Urdu
Brazil,Brasilia,Sao Paolo,Portuguese
Nigeria,Abuja,Lagos,English
Bangladesh,Dhaka,Dhaka,Bengali
Russia,Moscow,Moscow,Russian
Mexico,Mexico City,Mexico City,Spanish
Japan,Tokyo,Tokyo,Japanese
Ethiopia,Addis Ababa,Addis Ababa,Amharic
Philippines,Manila,Manila,Tagalog
Egypt,Cairo,Cairo,Arabic
Vietnam,Hanoi,Ho Chi Minh City,Vietnamese
DR Congo,Kinshasa,Kinshasa,French
Turkey,Ankara,Istanbul,Turkish
Iran,Tehran,Tehran,Persian
Germany,Berlin,Berlin,German
Thailand,Bangkok,Bangkok,Thai
United Kingdom,London,London,English
France,Paris,Paris,French
Italy,Rome,Rome,Italian
Tanzania,Dodoma,Dar es Salaam,Swahili
South Africa,Pretoria,Johannesburg,English
